displacement,position
0.0,0.0
-3.27456e-10,0.09
-1.30544e-09,0.18
-2.92739e-09,0.27
-5.18673e-09,0.36
-8.07688e-09,0.44999999999999996
-1.15913e-08,0.54
-1.57234e-08,0.63
-2.04665e-08,0.72
-2.58143e-08,0.8099999999999999
-3.17599e-08,0.8999999999999999
-3.8297e-08,0.99
-4.54189e-08,1.08
-5.3119e-08,1.17
-6.13909e-08,1.26
-7.02278e-08,1.3499999999999999
-7.96233e-08,1.44
-8.95707e-08,1.53
-1.00064e-07,1.6199999999999999
-1.11095e-07,1.71
-1.22659e-07,1.7999999999999998
-1.34749e-07,1.89
-1.47357e-07,1.98
-1.60479e-07,2.07
-1.74106e-07,2.16
-1.88232e-07,2.25
-2.02852e-07,2.34
-2.17957e-07,2.4299999999999997
-2.33543e-07,2.52
-2.49601e-07,2.61
-2.66126e-07,2.6999999999999997
-2.83111e-07,2.79
-3.0055e-07,2.88
-3.18435e-07,2.9699999999999998
-3.3676e-07,3.06
-3.5552e-07,3.15
-3.74706e-07,3.2399999999999998
-3.94313e-07,3.33
-4.14334e-07,3.42
-4.34762e-07,3.51
-4.55591e-07,3.5999999999999996
-4.76814e-07,3.69
-4.98425e-07,3.78
-5.20417e-07,3.8699999999999997
-5.42784e-07,3.96
-5.65519e-07,4.05
-5.88615e-07,4.14
-6.12065e-07,4.2299999999999995
-6.35865e-07,4.32
-6.60005e-07,4.41
-6.84481e-07,4.5
-7.09286e-07,4.59
-7.34412e-07,4.68
-7.59854e-07,4.77
-7.85605e-07,4.859999999999999
-8.11658e-07,4.95
-8.38007e-07,5.04
-8.64645e-07,5.13
-8.91565e-07,5.22
-9.18761e-07,5.31
-9.46227e-07,5.3999999999999995
-9.73956e-07,5.49
-1.00194e-06,5.58
-1.03018e-06,5.67
-1.05865e-06,5.76
-1.08737e-06,5.85
-1.11631e-06,5.9399999999999995
-1.14548e-06,6.029999999999999
-1.17486e-06,6.12
-1.20446e-06,6.21
-1.23426e-06,6.3
-1.26425e-06,6.39
-1.29444e-06,6.4799999999999995
-1.32481e-06,6.569999999999999
-1.35536e-06,6.66
-1.38607e-06,6.75
-1.41696e-06,6.84
-1.448e-06,6.93
-1.47919e-06,7.02
-1.51053e-06,7.109999999999999
-1.542e-06,7.199999999999999
-1.57361e-06,7.29
-1.60534e-06,7.38
-1.63718e-06,7.47
-1.66914e-06,7.56
-1.70121e-06,7.6499999999999995
-1.73337e-06,7.739999999999999
-1.76563e-06,7.83
-1.79797e-06,7.92
-1.83039e-06,8.01
-1.86288e-06,8.1
-1.89544e-06,8.19
-1.92806e-06,8.28
-1.96073e-06,8.37
-1.99345e-06,8.459999999999999
-2.0262e-06,8.549999999999999
-2.05899e-06,8.64
-2.0918e-06,8.73
-2.12464e-06,8.82
-2.15749e-06,8.91
-2.19034e-06,9.0
